"dist_bp","r2"
36387,0.0270668365379348
53,0.0407119229800006
12857,0.0365360162218376
196314,0.0412414285418675
2182151,0.864478250402284
626962,0.0433153000270025
1190354,0.609356197937345
878741,0.191738750547792
70,0.00713685691889545
102391,0.857886130563263
48,1
2110151,0.0381886470457858
847103,0.851704253657983
1045067,0.203008247464672
69213,0.162948833615307
592970,0.329644543108008
16,1
2910,0.108509771247974
48287,0.0825404151435425
335078,0.00329027330548458
2,1
1,1
2,0.95368862124153
1,0.95368862124153
5,1
21,1
1019,0.00339943671975064
169913,0.470256015815013
54796,0.690644390328066
137956,0.000523242636174079
47155,0.0192282063052602
169835,0.0848231992114586
104087,0.665853325679906
747795,0.348752398174857
